Estado,Ene/2000,Feb/2000,Mar/2000,Abr/2000,May/2000,Jun/2000,Jul/2000,Ago/2000,Sep/2000,Oct/2000,Nov/2000,Dic/2000,Ene/2001,Feb/2001,Mar/2001,Abr/2001,May/2001,Jun/2001,Jul/2001,Ago/2001,Sep/2001,Oct/2001,Nov/2001,Dic/2001,Ene/2002,Feb/2002,Mar/2002,Abr/2002,May/2002,Jun/2002,Jul/2002,Ago/2002,Sep/2002,Oct/2002,Nov/2002,Dic/2002,Ene/2003,Feb/2003,Mar/2003,Abr/2003,May/2003,Jun/2003,Jul/2003,Ago/2003,Sep/2003,Oct/2003,Nov/2003,Dic/2003,Ene/2004,Feb/2004,Mar/2004,Abr/2004,May/2004,Jun/2004,Jul/2004,Ago/2004,Sep/2004,Oct/2004,Nov/2004,Dic/2004,Ene/2005,Feb/2005,Mar/2005,Abr/2005,May/2005,Jun/2005,Jul/2005,Ago/2005,Sep/2005,Oct/2005,Nov/2005,Dic/2005,Ene/2006,Feb/2006,Mar/2006,Abr/2006,May/2006,Jun/2006,Jul/2006,Ago/2006,Sep/2006,Oct/2006,Nov/2006,Dic/2006,Ene/2007,Feb/2007,Mar/2007,Abr/2007,May/2007,Jun/2007,Jul/2007,Ago/2007,Sep/2007,Oct/2007,Nov/2007,Dic/2007,Ene/2008,Feb/2008,Mar/2008,Abr/2008,May/2008,Jun/2008,Jul/2008,Ago/2008,Sep/2008,Oct/2008,Nov/2008,Dic/2008,Ene/2009,Feb/2009,Mar/2009,Abr/2009,May/2009,Jun/2009,Jul/2009,Ago/2009,Sep/2009,Oct/2009,Nov/2009,Dic/2009,Ene/2010,Feb/2010,Mar/2010,Abr/2010,May/2010,Jun/2010,Jul/2010,Ago/2010,Sep/2010,Oct/2010,Nov/2010,Dic/2010,Ene/2011,Feb/2011,Mar/2011,Abr/2011,May/2011,Jun/2011,Jul/2011,Ago/2011,Sep/2011,Oct/2011,Nov/2011,Dic/2011,Ene/2012,Feb/2012,Mar/2012,Abr/2012,May/2012,Jun/2012,Jul/2012,Ago/2012,Sep/2012,Oct/2012,Nov/2012,Dic/2012,Ene/2013,Feb/2013,Mar/2013,Abr/2013,May/2013,Jun/2013,Jul/2013,Ago/2013,Sep/2013,Oct/2013,Nov/2013,Dic/2013,Ene/2014,Feb/2014,Mar/2014,Abr/2014,May/2014,Jun/2014,Jul/2014,Ago/2014,Sep/2014,Oct/2014,Nov/2014,Dic/2014,Ene/2015,Feb/2015,Mar/2015,Abr/2015,May/2015,Jun/2015,Jul/2015,Ago/2015,Sep/2015,Oct/2015,Nov/2015,Dic/2015,Ene/2016,Feb/2016,Mar/2016,Abr/2016,May/2016,Jun/2016,Jul/2016,Ago/2016,Sep/2016,Oct/2016,Nov/2016,Dic/2016,Ene/2017,Feb/2017,Mar/2017,Abr/2017,May/2017,Jun/2017,Jul/2017,Ago/2017,Sep/2017,Oct/2017,Nov/2017,Dic/2017,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180953,182280,168835,182149,203232,214441,210648,213022,202560,201979,192911,180955,181877,178328,173499,191905,208554,220721,212341,205215,203657,196043,189384,184766,186451,179972,182743,198625,201686,220740,222318,226674,220873,214564,207016,199068,199377,192538,190994,212201,222880,239300,247550,239386,220609,226945,207526,199612,201500,197322,196243,209288,215892,230273,233101,228095,223231,208041,208667,197300,193203,201720,205171,220024,234547,250511,245558,241825,242745,233830,236133,217235,216610,218202,214763,223542,253727,245524,259929,252161,234613,220126,206623,194072,197699.62,197665.36,200600.93,212543.68,237390.2,207995.39,263002.54,243769.16,237488.83,229832.46,225526.97,235921.99,189100.64,207230.45,203763.49,245955.65,220716.09,275387.53,262359.39,241002.36,259703.21,244462.18,238821.16,221570.88,222846.12,215133.48,223329.52,233924.54,255861.83,267092.23,282044.71,271270.21,264843.05,255971.28,246176.87,227326.82,238208.88,223495.44,225694.3,224857.76,262074.52,266397.69,269857.32,248126.64,253467.97,245514.87,234197.86,220615.55,214617.86,213917.81,216374.9,232091.24,262020.75,305315.15,283477.84,239704.9,242131.88,249383.01,243608.88,215985.94,266065.36,216413.86,272365.25,222133.92,265302.61,269451.79,293498.52,267550.41,257269.81,248919.87,238434.94,3041.2,219092.39,216692.72,307692.98,250873.71,236594.23,266658.71,259513.82,263891.06,278755.21,282041.1,237254.26,3059.561739,257611.91,247532.29,255175.62,290925.48,313433.39,274352,287953.2,292814.49,287260.33,299696.32,247075.77,3300.2,224476.25,211684.63,247155.82,248456.85,303879.12,309496.81,278363.32,275683.74,314722.58,248301,263741.56,3140.1,0,0,0,0,0,0,0,0,0,0,0,3237700,0,0,0,0,0,0,0,0,0,0,0,3383100,0,0,0,0,0,0,0,0,0,0,0,1572400,0,0,0
Edo. de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280813,1248397,1211540,1328848,1275080,1277368,1263211,1252215,1300427,1242141,1199117,1321768,1210561,1220864,1259405,1259596,1299078,1274655,1194786,1208571,1203053,1182167,1220887,1198405,1209783,1237371,1236903,1240877,1275517,1229937,1214282,1220993,1256727,1274420,1218365,1252692,1262078,1241646,1223772,1278097,1315125,1298844,1269177,1288934,1302520,1367003,1296287,1298133,1262002,1296892,1260050,1269436,1303046,1313630,1284947,1308129,1306596,1280642,1254169,1309192,1262718,1283390,1280868,1318609,1379766,1294542,1293910,1303287,1340347,1273004,1276967,1341306,1303202,1315149,1295905,1298427,1314612,1306909,1292505,1341639,1283675,1279586,1274096,1251153,1167553.83,1232411.31,1449363.26,1261205.12,1354327.14,1357452.94,1257693.01,1259827.06,1175999.26,1332321.53,1253343.58,1131760.35,1112648.39,1321694.71,1379610.44,1289615.1,1316413.94,1219513.52,1427206.01,1434690.02,1389871.24,1436150.78,1438511.14,1323628.5,1323979.39,1400446.7,1468115.38,1361301.54,1435148.61,1440872.97,1419283.51,1466072.48,1414170.33,1406133.82,1354396.38,1390891.81,1425385.27,1432469.55,1479533.32,1391374.14,1515290.4,1508656.36,1528707.29,1487134.97,1414151.61,1494521.48,1426765.72,1393558.6,1454512.72,1401396.57,1407725.23,1496200.94,1515647.74,1652946.38,1485830.94,1516522.51,1459160.84,1501979.66,1478045.79,1387681.87,1433017.45,1466238.18,1515391.78,1452710.01,1506013.12,1578813.39,1491644.2,1513294.8,1498056.96,1541279.8,1500181.35,17959.8,1507031.4,1442227.31,1533252.81,1582819.15,1568839.02,1569556.55,1495129.63,1533507.87,1466364.71,1567128.75,1541495.72,18337.67789,1492165.14,1499692.71,1481181.05,1566361.4,1567137.32,1550134.87,1540834.59,1531354.95,1490448.99,1560008.69,1586784.37,18428.5,1485289.2,1429425.42,1490791.41,1468624.12,1527916.25,1548410.41,1459517.55,1504924.57,1558189.33,1437949.91,1580140.43,17838,0,0,0,0,0,0,0,0,0,0,0,17846900,0,0,0,0,0,0,0,0,0,0,0,17489400,0,0,0,0,0,0,0,0,0,0,0,7936100,0,0,0
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579518,564958,556627,605717,685161,646501,575892,534440,531617,514783,529028,493426,587904,587333,609234,628706,662177,613410,556256,515547,504241,533175,503016,515610,595141,547603,641946,621775,656662,604175,537892,551146,562520,552528,588597,563016,590654,624881,601054,661273,672510,703270,683409,592502,587837,622134,618359,617264,649497,629081,666689,713984,699312,664525,691766,651255,601586,655722,623700,667103,652134,661813,756852,699175,763880,811264,622104,636195,627438,653743,702689,665029,728281,732297,768666,800613,845804,826022,683801,671335,633209,669669,674440,603030,715500.85,720895.95,768808.88,766468.06,789606.61,791242.88,747330.31,835653.7,792453.36,704069.08,713152.28,724289.68,757989.09,701241.24,753640.04,859761.64,876581.87,898109.3,801156.45,755193.44,805138.69,714249.28,759987.12,805960.16,842275.4,820347.44,892317.15,895119.02,907630.38,979428.35,871945.18,852198.98,849398.79,863603.16,813727.35,856222.32,868655.59,837222.61,932070.64,894837.27,983182.49,977401.25,868876.61,829492.28,851304.95,869574.29,863874.08,832946.84,902734.14,894253.49,917540.66,905546.56,983710.67,938000.24,821512.2,855037.2,844715.27,869551.69,802689.85,770751.3,865727.8,887058.95,960227.63,982339.69,1019556.45,900973.57,869867.35,929532.45,878069.68,912795.7,880169.55,10948.6,945293.81,995117.1,1002257.92,881332.76,982680.06,946214.34,899303.7,942110.96,934477.19,980895.55,947383.97,11369.95085,985957.74,970764.72,1013648.53,1056613.78,1096607.09,1075804.41,984146.7,970280.51,939840.38,985755.69,957852.72,11943.1,1001993.88,1026650.75,1075926.16,1035582.51,1122492.47,1114832.02,1006012.45,939770.68,963537.57,950882.45,977290.58,12188.1,0,0,0,0,0,0,0,0,0,0,0,12003100,0,0,0,0,0,0,0,0,0,0,0,12033900,0,0,0,0,0,0,0,0,0,0,0,5754400,0,0,0
Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184576,182191,180701,192835,193247,199014,189833,199412,190730,194083,189850,194500,186929,204357,189262,197371,201295,205877,197038,204270,201203,202175,202867,206777,195242,195881,191844,210966,207990,208138,210090,211015,206222,208183,208086,215206,205963,207390,201330,209578,213655,222983,226194,213956,217908,216762,214718,223973,209904,211635,207153,216271,218328,221379,220280,225540,222340,219925,221264,227707,218882,222138,216448,226065,231313,235352,231003,231333,220410,232779,232689,234242,222650,228097,221006,226989,234615,235029,213390,221499,211784,219522,220261,204705,219345.49,218209.98,210260.91,220364.54,226395.19,222323.44,230074.57,243705.76,225178.92,232551.87,225155.97,225216.03,214774.67,209215.91,211258.02,229780.11,230004.75,232334.05,227075.1,224028.29,224063.8,227729.04,223407.21,225727.14,220947.85,214821.25,214794.79,232901.71,239675.33,248891.38,234088.61,231142.18,225788.91,229274.74,218966.74,230181.58,220184.61,224772.08,222130.24,231501.55,235232.98,243809.81,243175.92,240830.13,233345.66,233914.38,231843.91,233179.23,230074.41,218141.01,218015.04,228978.26,241472.67,242006.75,243724.06,244416.79,226675.21,223008.07,225287.89,237638.94,228320.51,231860.22,223328.36,229877.72,243483.69,240192.82,239509.88,251650.95,240626.78,239494.68,229709.45,2832.6,230605.29,228744.72,231240.48,240808.78,252922.69,257206.8,246557.29,264737.97,252685.02,243153.82,245191.27,2952.077109,248917.61,255874.94,238582.08,237773.27,256043.05,257417.2,262744.54,258936.74,252115.71,256021.78,244394.5,3030.1,243392.19,236260.67,236153.18,243793.75,257641.71,258471.05,254026.28,264144.95,263962.85,272345.42,218649.24,2973.7,0,0,0,0,0,0,0,0,0,0,0,3099300,0,0,0,0,0,0,0,0,0,0,0,3177000,0,0,0,0,0,0,0,0,0,0,0,1553100,0,0,0
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256664,256872,263460,273830,257719,277572,277796,264172,283620,277316,278285,279235,278425,253642,281311,282156,277554,271726,276962,269654,272245,273404,277471,259595,268585,266012,291924,270788,245099,244183,235333,232355,247682,243098,232932,235803,233663,227365,231421,243130,250675,254779,255558,254047,255312,258757,248631,245179,248737,232388,252378,264062,226897,262503,269040,269376,273720,260164,273924,271997,263399,247857,258143,253804,264075,256928,269540,257581,274148,264547,268710,261916,247705,253989,269541,267377,268992,272400,257132,271298,269436,261071,258185,253820,222734.48,251745.12,286859.56,262248.46,294431.84,289695.07,257153.43,255623.69,201511,279863.9,248763.29,213770.55,194566.26,210484.76,239621.41,248808.27,254028.28,267178.42,353331.76,290167.75,289870.34,267325.21,264355.96,233655.35,283794.53,276010.32,296011.18,264534.29,302343.4,311716.78,304621.1,311917.66,292398.95,298742.56,328973.88,293069.88,288596.38,287240.68,315009.39,290488.34,317689.48,311410.9,323328.04,315579.82,327767.4,311887.2,307178.38,285786.77,302207.37,299289.93,310456.3,292959.26,323796.07,316300.91,335290.97,321377.04,294514.05,303799.68,287699.7,275299.51,285773.83,304641.77,311179.42,294993.5,310649.6,283291.43,284382.57,303099.95,312243.67,304771.37,287935.19,3554.3,284867.89,297666.31,316654.59,306833.35,319097.97,344441.06,318520.59,354817.77,314704.42,340975.22,335803.31,3848.704189,327520.6,325381.59,323359.53,338432.1,344886.5,344347.29,353972.87,339308.5,333115.11,337812.76,314470.05,3983.1,312949.86,314040.92,314315.61,354040.62,300478.61,341695.82,331177.58,336676.13,349817.7,323616.32,345252.18,3958.3,0,0,0,0,0,0,0,0,0,0,0,3913500,0,0,0,0,0,0,0,0,0,0,0,3919800,0,0,0,0,0,0,0,0,0,0,0,1904700,0,0,0
Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789482,749534,775088,817850,862540,819020,798844,819570,750526,793869,782337,760893,789477,764679,804292,796798,854389,821654,813987,793034,778132,780193,794504,763151,796704,771612,827061,803871,837450,814042,797376,802216,791025,799812,807712,776649,805444,772141,799303,829897,877313,873789,865418,849858,836736,867499,855233,817336,843257,806910,891633,856858,917549,924570,919860,879226,862232,874437,856156,828286,870190,826412,896821,878157,959744,927693,895029,917519,884059,933860,900695,861049,895641,897273,887092,939428,972862,952541,931087,927375,887694,926542,887391,849249,873206.89,856866.55,933157.6,908547.41,939127.11,958118.07,965671.06,960782.26,920971.21,946150.4,917092.47,902970.28,900908.48,835355.42,915759.06,940846.77,999332.12,1002103.35,982346.06,973563.86,960768.53,961189.95,947436.24,903627.24,930690.22,911735.92,998831.46,982374.58,1043957.15,1071043.36,1018481.43,1016658.55,1011322.37,1023313.04,983970.61,969107.68,973657.23,946297.66,1023511.71,1014111.13,1088759.27,1086914.91,1034609.88,1035513.05,1018786.43,1051419.16,1026405.58,976160.61,973332.74,957373.56,994098.76,1048788.03,1098083.16,1080356.63,1056272.6,1046716.76,1009462.69,1039158.98,1009929.98,952258.37,973374.08,976314.92,1039274.32,1041650.38,1097682.43,1057602.98,1030840.97,1040403.04,1009896.49,1027095.4,996734.29,12288.1,1010768.73,980947.43,1046702.86,1055720.34,1123696.42,1112789.49,1107498.43,1098755.77,1092412.01,1111649.01,1098282.75,12886.33941,1035626.14,1023243.45,1071792.35,1126625.02,1193211.39,1182189.39,1135032.84,1139407.12,1111436.96,1139757.42,1115934.18,13370.6,1058725.15,1039715.33,1126321.49,1115797.34,1199153.67,1223550.78,1123202.42,1146370.17,1144690.79,1087773.32,1157882.3,13542.2,0,0,0,0,0,0,0,0,0,0,0,13476200,0,0,0,0,0,0,0,0,0,0,0,13851200,0,0,0,0,0,0,0,0,0,0,0,6502600,0,0,0
Michoacán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338277,476294,511382,535013,593071,592902,567172,580061,528399,579702,466470,551167,574630,555531,607591,613389,618802,601769,547518,466729,570457,589702,567999,597759,605568,598896,620241,622968,642311,631413,617417,621296,591375,619768,602357,628044,609222,580245,625480,646618,641377,649693,610689,564959,500722,547450,538031,557211,656969,621149,599744,511033,648650,614046,580261,612529,587590,627034,612201,602538,633647,618370,654428,628071,645319,669121,558351,631771,575827,672991,641942,660199,679951,674175,666254,674151,697371,723054,685366,677884,636356,549039,486643,506622,451355.53,485194.19,482489.26,482995.85,514931.83,535482.94,478693.28,407090.66,403972.75,577941.59,547762.09,572038.47,574777.99,543667.33,591048.21,621578.41,626671.1,569098.23,540752.24,556625.01,546167.84,564464.81,561050.32,579767.32,637375.31,612700.41,663195.22,665460.69,629261.19,617899.38,594900.5,618622.3,583845.9,597770.87,587301.16,597903.87,563527.18,493134.86,653868.63,662649.17,669802.51,653298.59,587344.04,591200.49,630776.86,603345.54,620705.16,615480.11,646141.79,599440.67,638078.66,597839.5,621778.2,620814.33,632503.35,645006.84,591916.19,595864.81,580627.48,571038.17,574559.84,584362.15,618876.85,617086.83,637371.99,631561.21,553051.46,585189.56,579867.36,559491.65,518425.83,7022.3,598804.04,586168.92,538819.21,532622.82,621200.72,578642.56,586815.12,602666.82,606224.15,460274.85,441837.22,6623.150881,490305.57,539964.94,483914.22,588170.25,647329.71,641764.75,557793.67,598606.82,593297.7,600294.28,549514.19,6802.1,579378.86,618763.87,653677.28,644659.58,707001.13,719444.39,621453.15,609687.33,696323.34,671820.32,698094.72,7729.6,0,0,0,0,0,0,0,0,0,0,0,7819200,0,0,0,0,0,0,0,0,0,0,0,7807700,0,0,0,0,0,0,0,0,0,0,0,3692000,0,0,0
Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160434,166467,160847,170853,170565,171100,161794,167208,158813,165978,156535,162408,157426,167118,169290,173628,175893,178507,158776,164216,158680,165073,161785,162037,160713,165431,164113,175654,171408,174449,165659,169144,163467,174464,160589,169521,169349,169817,166675,179683,178063,188340,179897,181291,172502,181057,168338,181609,172492,174631,173905,183675,184911,191288,181115,183117,174611,186658,174128,180047,181785,183144,181788,189194,192587,197973,183241,194766,186189,189997,181521,190248,186085,193541,190445,199979,198178,206393,194120,202907,188187,198886,190344,186959,193484.97,189046.54,193927.17,199497.08,210363.2,213745.61,193911.62,197915.42,199119.71,200578.66,191325.35,180778.61,184501.49,188773.71,194963.69,196290.81,215586.38,216237.79,213660.98,195699.95,202426,193054.16,204698.73,195358.8,202260.96,200550.76,205894.37,212510.83,217544.07,219258.43,210438.87,206882.72,202350.56,205164.13,195737.43,196820.66,203739.56,199190.53,217796.96,212797.68,228844.63,221295.24,216918.48,214324.78,215426.09,212307.44,212458.13,206105.45,213065.36,200517.73,213558.04,216200.55,235165.5,232410.11,217498.05,216494.47,213872.33,215614.35,217319.52,205633.95,214680.55,218774.45,225602.84,220329.41,233475.53,222642.29,216769.92,223840.97,216625.58,223783.45,213974.35,2636.6,217477.14,213116.37,225396.68,229225.07,222145.05,211091.03,206232.22,215258.03,208312.51,209373.39,206203.36,2566.129489,203717.12,211743.8,223195.56,234909.4,248237.47,245153.35,236762.08,226581.37,225184.64,229077.9,221067.86,2725.9,232873.61,226823.26,236915.96,230247.66,257470.55,244780.33,233814.05,231426.52,235907.39,233849.56,199962.92,2772.3,0,0,0,0,0,0,0,0,0,0,0,2788300,0,0,0,0,0,0,0,0,0,0,0,2553200,0,0,0,0,0,0,0,0,0,0,0,1221400,0,0,0
Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60673,63814,58524,65929,68816,74891,71109,79145,71395,74073,64109,65963,59847,63520,60135,66311,68756,77342,75171,81577,73550,77954,72995,73550,68387,67735,67616,70505,73598,81345,79911,86513,75877,84573,77305,77608,72859,74418,67915,76040,75790,83657,85086,92914,83323,94021,85679,80876,74547,74561,73921,80745,83953,95087,94757,98292,90486,94177,89117,89952,80827,81456,77138,82997,87811,95762,96772,105805,97556,104691,95510,92133,86385,85780,84562,89500,94620,103036,106056,112389,105418,110146,102608,101084,90577.81,89673.42,92896.74,98994.44,96443.22,103356.77,105057.46,117192.65,110130.79,113763.09,107556.24,104488.12,94265.82,90732.57,91565.51,98446.65,103012.46,110409.79,110708.41,119102.63,112867.22,117475.45,104257.6,97674.64,92573.89,90354,96434.6,100206.04,106462.34,120838.31,120209.62,125142.62,120225.39,125275.48,114072.2,109868.21,95616.97,95808.35,97614.17,102807.99,108487,117747.3,123238.17,127477.01,119998.71,126302.48,122703.19,116450.3,102835.36,99318.48,97792.25,107171.62,114908.33,121184.59,125332.35,130927.48,123494.17,126919.45,123190.71,115379.19,108442.31,104342.45,105687.78,111706.65,122522.7,129631.85,136440.22,132033.35,127997.24,125764.9,121314.51,1439.1,109645.08,105520.06,111191.53,118290.29,125251.1,136040.9,143143.39,142944.84,136686.65,140059.73,138647.28,1534.127711,110783.48,108497.55,112883.07,120281.85,130976.56,142145.24,149255.65,147966.62,141451.96,144763.47,140202.55,1582.2,114048.83,107837.17,114027.69,118343.2,126726.97,135669.75,143163.93,152701.86,144595.98,140776.04,142277.96,2578.9,0,0,0,0,0,0,0,0,0,0,0,1589400,0,0,0,0,0,0,0,0,0,0,0,1656000,0,0,0,0,0,0,0,0,0,0,0,725100,0,0,0
Nuevo León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094427,1037475,1101648,1114952,1242516,1305455,1347840,1376819,1440607,1303039,1043735,1012654,1013797,1005953,1089806,936986,1103089,1155658,1222905,1205103,1148146,1059480,952900,912315,926134,905841,971370,989115,1070385,1158234,1253305,1299572,1239367,1184825,1057030,979231,953235,1044536,1067444,1046064,1143878,1226045,1303666,1323329,1289396,1228553,1110853,966089,998935,1170963,1099741,1092280,1269201,1334014,1357789,1442505,1318019,1262568,1182726,1007566,1045113,1092746,1134594,1084904,1231390,1339670,1348956,1428944,1357382,1354685,1191140,1109790,1087083,1208865,1170398,1214456,1380523,1468533,1465898,1492519,1322106,1260539,1062843,950358,1007154.89,1003775.44,1177375.1,1089027.62,1248555.19,1364133.54,1510622.88,1538076.91,1432028.87,1347044.01,1114779.85,1025201.25,1110363.05,1038145.87,1187530.77,1144410.51,1317846.7,1485145.42,1493528.26,1500952.78,1548024.08,1385871.97,1215267.02,1085795.44,1138464.26,1154291.53,1496648.09,1330768.6,1478480.08,1593500.92,1664941.68,1677831.97,1634172.44,1521162.97,1329392.95,1167797.75,1247320.9,1344543.41,1430837.33,1441654.97,1627337.57,1668874.71,1697358.02,1746385.69,1711098.31,1561348.35,1349082.96,1141786.76,1193220.15,1201012.82,1248525.99,1326254.95,1401554.94,1536471.88,1637333.41,1813202.17,1581450.5,1480473.99,1305524.99,1201493.67,1218257.04,1239757.86,1364827.32,1400663.15,1409426.63,1537416.29,1696623.54,1789617.14,1707844.72,1593766.31,1347423.15,17500.3,1286353.7,1258806.59,1473245.64,1449690.87,1421409.54,1531897.86,1685370.03,1772986.09,1732221.47,1673293.22,1353179.78,17864.14264,1220604.27,1267337.14,1355746.08,1530373.35,1572656.13,1724226.89,1814563.01,1900583.9,1836025.65,1680112.6,1479052.49,18609.5,1152104.77,1178080.6,1282323.31,1305208.94,1415892.61,1662450.4,1741458.36,1756949.74,1862163.01,1489830.69,1350634.24,17141.5,0,0,0,0,0,0,0,0,0,0,0,18090000,0,0,0,0,0,0,0,0,0,0,0,17655400,0,0,0,0,0,0,0,0,0,0,0,7246900,0,0,0
Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166334,154958,161520,169353,171101,161451,162478,168036,171573,175500,164336,168309,171664,164460,165727,167379,173614,182758,162560,171103,163385,164431,162339,164492,168248,164017,172389,172822,176137,183950,175309,177358,167695,174747,172246,177729,174291,169397,174123,182060,181966,186470,179463,178191,177193,183483,175640,179646,177019,177491,174982,184110,188515,187622,185929,186556,177046,182653,173657,175504,181907,237464,182630,127208,184010,166977,184487,193193,184026,173722,176710,187970,183388,186715,188213,185050,189404,195850,194681,201318,191298,198147,192239,197558,195535.86,189643.28,196345.46,202759.2,208486.24,206976.87,202889.52,210332.52,205477.11,200249.37,181026.55,184805.67,178936.92,179621.26,179489.15,189061.05,203601.23,204922.12,195160.55,201675.08,192641.02,196039.6,188961.61,197044.42,195998.49,207050.34,200854.76,214440.31,220860.47,225860.07,213023.82,213257.64,210828.45,216426.95,190307.7,198104.97,200898.69,205639.78,213451.23,218039.67,218375.52,223406,213853.61,219123.38,205963.35,212522.79,202112.39,210850.16,207188.29,203872.75,199584.22,216372.23,215805.45,225740.5,205599.16,207688.18,209505.76,207758.05,206880.64,210787.44,199230.41,205348.53,208859.78,223055.12,228261.92,223070.11,214305.11,225472.89,214791.21,213636.34,208895.48,2572.7,205480.33,195942.53,213055.98,222308.73,232732.99,228131.5,228429.74,227334.51,221839.51,232277.68,222248.86,2653.804607,215850.08,215371.53,211105.99,226396.05,244790.91,237424.52,231155.52,225319.37,224105.56,224524.72,217669.17,2698.9,212458.02,206990.4,216347.37,217754.69,235304.15,242141.31,220978.55,225677.09,231842.18,214114.74,288259.13,2656.4,0,0,0,0,0,0,0,0,0,0,0,2747400,0,0,0,0,0,0,0,0,0,0,0,2900100,0,0,0,0,0,0,0,0,0,0,0,1434600,0,0,0
